id,Text,Surprise,Fear,Anger,Disgust,Sadness,Joy,Neutral
es_sample_track1_00000,Muy buena rola 😊❤ éxitos totales mi buen,0,0,0,0,0,1,0
es_sample_track1_00001,Si que me he gozado y deleitado con el temazo 🔥 👌 no he parado de reír,0,0,0,0,0,1,0
es_sample_track1_00002,Q pena Q penisima jajajajaja 😂😂😂 buenísimo ❤❤👌,0,0,0,0,0,1,0
es_sample_track1_00003,"¿Cómo que perdimos? Ganamos la guerra carajo, si perdimos territorio fue por los giles de los políticos.",0,0,1,1,0,0,0
es_sample_track1_00004,Nooo no te vallas te extrañamos,0,0,0,0,1,0,0
es_sample_track1_00005,Me da pena agena esta baina.,0,0,0,1,0,0,0
es_sample_track1_00006,Que buena salchipapa hijueeepuuu. #ElViejo 🤣🤣,1,0,0,0,0,1,0
es_sample_track1_00007,Esta chever esta serie felicidades..,0,0,0,0,0,1,0
es_sample_track1_00008,"Harta demencia es el de guayaquil, no copien ya les pego lo copion de Moran el más copion.",0,0,0,1,0,0,0
es_sample_track1_00009,creen un canal de los morales sus videos son estraordinarios,0,0,0,0,0,1,0
es_sample_track1_00010,es una canción inventada  o se la copiaron a los chilenos?😐,1,0,0,0,0,0,0
es_sample_track1_00011,Yo aqui...viendo comerciales...en youtube...yupi ._.,0,0,0,0,0,0,1
es_sample_track1_00012,dejen de comercializar no sean vendidos de mierda,0,0,1,1,0,0,0
es_sample_track1_00013,Esto si va a ser una película de verdad o va a ser la misma mierda que hizo Wismichu.,0,0,1,1,0,0,0
es_sample_track1_00014,Hasta a mí me dolió la inyección 😭,0,1,0,0,1,0,0
es_sample_track1_00015,Pobre chichico siempre lo golpean😂😂😂,0,0,0,0,0,1,0
es_sample_track1_00016,pobre niño un traumado mas,0,0,0,0,1,0,0
es_sample_track1_00017,recuerdo que mi hermana me escondió mi celular y estuve llorando porque no lo encontraba,0,0,0,0,1,0,0
es_sample_track1_00018,No es Chileno?.,1,0,0,0,0,0,0
es_sample_track1_00019,Traumaron mis pocos recuerdos de la infancia aaa,0,1,0,0,1,0,0
es_sample_track1_00020,Dios!!!  Q brutal xd pero es la repera,1,0,0,0,0,1,0
es_sample_track1_00021,Son lo maximooo chikos..,0,0,0,0,0,1,0
es_sample_track1_00022,Por qué las malas palabras?,1,0,0,1,0,0,0
es_sample_track1_00023,Que mal se ve esa niña diciendo malas palabras,0,0,0,1,0,0,0
es_sample_track1_00024,Los Amo ❤❤,0,0,0,0,0,1,0
es_sample_track1_00025,si asi mismo son las familias de aora ijos de pucta y si no me conocen descubran mi nombre,0,0,1,1,0,0,0
es_sample_track1_00026,Enchufetv : !!!TODOS SUSCRITOS!!!   Yo: ya estoy,1,0,0,0,0,0,0
es_sample_track1_00027,Porque mierda hay comentarios en inglés,0,0,1,1,0,0,0
es_sample_track1_00028,despues de hacer ese video del chavo tienen el descaro de hacer otro video !!!,0,0,0,1,0,0,0
es_sample_track1_00029,la cara de ese wey si q da miedo! ¡Yo ya stoy!  o.O,1,1,0,0,0,0,0
es_sample_track1_00030,Desde cuándo colaboran con gente mierda?,1,0,0,1,0,0,0
es_sample_track1_00031,Porque nooo :c  Cagaron el video con kevlex,0,0,1,0,1,0,0
es_sample_track1_00032,Kevblex nooo me la creo weyyy no puedo creer que kevblex estaba en enchufe TV nooo,1,0,0,0,0,1,0
es_sample_track1_00033,¿Donde está chichico?,0,0,0,0,0,0,1
es_sample_track1_00034,Kevlexd es un hipócrita PREFIERO MIL VECES AL ROD V:,0,0,0,1,0,0,0
es_sample_track1_00035,ya no dan risa ahora dan pena esto dejo de ser gracioso es algo triste,0,0,0,1,1,0,0
es_sample_track1_00036,son ideas mias o enchufe anda muy progre?,1,0,0,0,0,0,0
es_sample_track1_00037,"Que asco Tik Tok, es para básicos!!!",0,0,0,1,0,0,0
es_sample_track1_00038,pobre niña XD,0,0,0,0,0,1,0
es_sample_track1_00039,Da mas miedo la chica de BADABUN... Hoy en el 2019 😰😰😰,1,1,0,0,0,0,0
es_sample_track1_00040,DESLIKE DESLIKE DESLIKE DESLIKE DESLIKE DESLIKE DESLIKE...  ENCHUFETV ANTES ERA CHEVEREEE!!! PULPINES Y NASTIFLU SILENCIOOO!!!,0,0,1,1,0,0,0
es_sample_track1_00041,juajuajuajuajuajua muyy bueno!!!,0,0,0,0,0,1,0
es_sample_track1_00042,banda me trolearon no lo busquen :triste:,0,0,0,0,1,0,0
es_sample_track1_00043,No sé muchachos eso de tomarle fotos a una loli en un baño con lo ofendido q todos son últimamente,0,0,0,1,0,0,0
es_sample_track1_00044,ajajajaj que asco!,0,0,0,1,0,1,0
es_sample_track1_00045,Con material INflamable.,0,0,0,0,0,0,1
es_sample_track1_00046,Esto es una basura,0,0,0,1,0,0,0
es_sample_track1_00047,"Mí mamá la odia y todos mis amigos, dicen que me metí con ella por despecho, y tienen razon. 😂😂😂",0,0,0,0,0,1,0
es_sample_track1_00048,"No me canso de verlo... amo éste video, mi preferido del canal ❤ amo a Raúl ❤",0,0,0,0,0,1,0
es_sample_track1_00049,Me encanta Jaja :),0,0,0,0,0,1,0
es_sample_track1_00050,ma ra vi llo so! :D me gustó mucho jajaja,1,0,0,0,0,1,0
es_sample_track1_00051,jajaja la man dale tragando    los vergas q no les gusta no vean y punto mmvgs,0,0,1,0,0,1,0
es_sample_track1_00052,Esta vez no me gusto ;(,0,0,0,1,1,0,0
es_sample_track1_00053,Son un asco,0,0,0,1,0,0,0
es_sample_track1_00054,está de lo mejor este sketch jajjajaja,0,0,0,0,0,1,0
es_sample_track1_00055,no puedo esperar a enchufe sin visa,0,0,0,0,0,0,1
es_sample_track1_00056,que asco de video,0,0,0,1,0,0,0
es_sample_track1_00057,antes me gustaban sus videos peor ultimamente estan muy asquerosos... ._. y ya no dan risa,0,0,0,1,0,0,0
es_sample_track1_00058,Que asco este vídeo,0,0,0,1,0,0,0
es_sample_track1_00059,Tengo miedo!! >:C Aparte son las  Ya no voy a poder ir al baño sola :'u,0,1,0,0,0,0,0
es_sample_track1_00060,"Me da miedo que ahorita q le de “me gusta”👍 al vídeo, me contagien 😱😨😷 [•~•]",0,1,0,1,0,0,0
es_sample_track1_00061,que acabo de ver?,0,0,0,0,0,0,1
es_sample_track1_00062,de que mierda se trata este vídeo ridículo???,1,0,1,0,0,0,0
es_sample_track1_00063,"Despues del Film ""Un chien Andaluz"" esto es lo mas bizarro que he visto.",1,0,0,1,0,0,0
es_sample_track1_00064,No lo supero .-.,0,0,0,0,1,0,0
es_sample_track1_00065,quien mierda es mox?,1,0,1,0,0,0,0
es_sample_track1_00066,Que chuchas hicieron!!! pero q veeergaaa!!!,1,0,1,0,0,0,0
es_sample_track1_00067,tengo miedo a darle like al video !!!,0,1,0,0,0,0,0
es_sample_track1_00068,No mames que acabo de ver,1,0,0,0,0,0,0
es_sample_track1_00069,LLEGAMOS A LOS 50 M!!! FELICIDADES GERMANNN,0,0,0,0,0,1,0
es_sample_track1_00070,Felicidades German. 🎉🎊,0,0,0,0,0,1,0
es_sample_track1_00071,Que truco tan épico ni el espejo pudo cactar el momento fue tan rápido dios mio,1,0,0,0,0,0,0
es_sample_track1_00072,Ami tambien me da mucho miedo las arañas y las cucarachas,0,1,0,0,0,0,0
es_sample_track1_00073,No me esperaba ese final 😂😂😂,1,0,0,0,0,1,0
es_sample_track1_00074,"Ay, a mi me dan miedo.",0,1,0,0,0,0,0
es_sample_track1_00075,Más miedo me daría ver SDT pa cuando subes SDT,0,0,0,0,0,0,1
es_sample_track1_00076,Me das miedo 😨 quitatelo,1,1,0,0,0,0,0
es_sample_track1_00077,Mas miedo me da cuando veo doctop por la noche,0,1,0,0,0,0,0
es_sample_track1_00078,Mas miedo me da la decadencia 💀,0,1,0,0,0,0,0
es_sample_track1_00079,Más miedo me dá Kunno,0,1,0,0,0,0,0
es_sample_track1_00080,Mas miedo me da el SDT 7,0,1,0,0,0,0,0
es_sample_track1_00081,Más miedo me da que los pokémons existan y que haiga gente que se los coga,0,1,0,1,0,0,0
es_sample_track1_00082,no da miedo pero te conviertes en peruano XD,0,0,0,0,0,1,0
es_sample_track1_00083,Más miedo. Me da cuando viene mi tio,0,1,0,0,0,0,0
es_sample_track1_00084,"Mas miedo me da que alguien me dija ""tu ya sabes"" y yo nose",0,1,0,0,0,0,0
es_sample_track1_00085,En ves de miedo da asco 🤮,0,0,0,1,0,0,0
es_sample_track1_00086,Me da mas miedo yutube kids,0,1,0,0,0,0,0
es_sample_track1_00087,Mas miedo me da cuando un bts se me aserca,0,1,0,0,0,0,0
es_sample_track1_00088,Wao... Me da mas miedo cocomelon xd,1,0,0,0,0,1,0
es_sample_track1_00089,"Me costó darme cuenta de que no me di cuenta de que, me tenía que dar cuenta .. 😂",1,0,0,0,0,1,0
es_sample_track1_00090,Pero deja de apuntarme con esa arma,0,1,0,0,0,0,0
es_sample_track1_00091,Los lentes graban,0,0,0,0,0,0,1
es_sample_track1_00092,Mr beats latinoaméricano🤑,0,0,0,0,0,0,1
es_sample_track1_00093,Cámbiate de ropa :v,0,0,0,0,0,0,1
es_sample_track1_00094,Me saco una lagrima haber vuelto escuchar esta cancion 🤧,1,0,0,0,1,0,0
es_sample_track1_00095,yo era un niño super feliz. Y pasaron 9 años. Y asta que cresi. Mi vida fue un ascooo.,0,0,0,1,1,0,0
es_sample_track1_00096,Ufff que canción,1,0,0,0,0,0,0
es_sample_track1_00097,en mi opinion con autotune o sin autotune le ganaria a Bad Bunny Xd,0,0,0,0,0,1,0
es_sample_track1_00098,Juro que llore,0,0,0,0,1,0,0
es_sample_track1_00099,Me hiso llorar la canción que se escucha de fondo,0,0,0,0,1,0,0
es_sample_track1_00100,jaja me dio risa con el i.c.k.k.c.k,0,0,0,0,0,1,0
es_sample_track1_00101,Jajajajaja amo esta canción deberías hacer la 2 la 3 y la 1.5k,1,0,0,0,0,1,0
es_sample_track1_00102,Jajajaj 🤣me encantó ❤️,1,0,0,0,0,1,0
es_sample_track1_00103,👇estos son los años que   Germán estará en YOUTUBE...,0,0,0,0,0,0,1
es_sample_track1_00104,El vídeo mas jodidamente random que he visto en mi corta y jodida vida xd,0,0,0,0,0,1,0
es_sample_track1_00105,Lo volví a ver después de dos años y casi lloro :'v,0,0,0,0,1,0,0
es_sample_track1_00106,Extraño a ese Germán,0,0,0,0,1,0,0
es_sample_track1_00107,Lo peor de esta canción es que se termina :'v,0,0,0,0,1,0,0
es_sample_track1_00108,Me sorprendi wey rimama mucho omg,1,0,0,0,0,0,0
es_sample_track1_00109,Que tontos los que le dieron👎,0,0,1,1,0,0,0
es_sample_track1_00110,Porque hay gente. Tan envidiosas que le paran dando dislikes ? 19K ei diablo,1,0,0,1,0,0,0
es_sample_track1_00111,No puedo con esto 😂😂😂,0,0,0,0,0,1,0
es_sample_track1_00112,Que se hace de desayuno Thor una thortilla,0,0,0,0,0,0,1
es_sample_track1_00113,Me parece una falta de respeto que esta obra maestra solo tenga 24M >:v,1,0,0,0,0,0,0
es_sample_track1_00114,Like si viniste por el comentario de fernan😊,0,0,0,0,0,1,0
es_sample_track1_00115,Me encanta xD,0,0,0,0,0,1,0
es_sample_track1_00116,Eres el mejor,0,0,0,0,0,0,1
es_sample_track1_00117,Me quedo sin palabras,0,0,0,0,0,0,1
es_sample_track1_00118,con ustedes... ¡La Cancion Del Año!,0,0,0,0,0,0,1
es_sample_track1_00119,Si la tierra fuese un cubo seriamos cubanos?,0,0,0,0,0,0,1
es_sample_track1_00120,enserio mi perro a muerto todos estan llorando :(,0,0,0,0,1,0,0
es_sample_track1_00121,Ya me aprendi la letra,0,0,0,0,0,0,1
es_sample_track1_00122,like si quieres la segunda parte y  lo exiges! >:v,0,0,0,0,0,0,1
es_sample_track1_00123,Que increíble casi llega al millón de likes,0,0,0,0,0,0,1
es_sample_track1_00124,wtf que acabo de ver,1,0,0,0,0,0,0
es_sample_track1_00125,q rayos fue eso,1,0,0,0,0,0,0
es_sample_track1_00126,Jajajajaj me encanto!!!,0,0,0,0,0,1,0
es_sample_track1_00127,q asco el qse come los mocos,0,0,0,1,0,0,0
es_sample_track1_00128,Xdxd me muero,0,0,0,0,0,1,0
es_sample_track1_00129,que hace Thor con una tortilla ? Thor:tilla :v,0,0,0,0,0,0,1
es_sample_track1_00130,sos un genio Germán,0,0,0,0,0,0,1
