id,text,Joy,Fear,Anger,Sadness,Disgust,Neutral,Surprise
hau_sample_track1_00001,"Obasanjo ya yi addu'ar Allah ya É—auki ransa: Na ga uku, bana addu'ar ganin Olu na Warri na huÉ—u",0,0,0,1,0,0,1
hau_sample_track1_00002,An Æ™irÆ™iri cutar korona saboda a haifar da tsoro da firgici a tsakanin mutane,0,1,1,0,0,0,0
hau_sample_track1_00003,Tashin hankali: 'Yan ruwa sun kashe budurwa a lokacin da ake yi mata wankan shiga addinin Kirista,0,0,0,1,0,0,1
hau_sample_track1_00004,Shehu Sani Ya Yi Allah Wadai Da Ma Su Daukar Mataki Kan Zargin Satar Mazakuta A Abuja,0,0,1,0,1,0,0
hau_sample_track1_00005,Mutane 5 yan gida daya sun yi mutuwar ban mamaki a jahar Enugu,0,0,0,1,0,0,1
hau_sample_track1_00006,"Yan bindiga sun farmaki kwaleji, sun hallaka dalibi da wani lakcara a jihar Legas",0,1,0,1,0,0,0
hau_sample_track1_00007,"Allah ya kyauta: 'Yan Bindiga sun hari gidan Sarki a jihar Sokoto, sun kashe dogari sun kuma yi awon gaba da kanin Sarkin",0,1,0,1,0,0,0
hau_sample_track1_00008,abun mamaki takaici da dariya baya karewa a nigeria wannan wane irin labari ne,0,0,1,0,0,0,1
hau_sample_track1_00009,"Na tayata murna sosai, domin kuwa a dai dai loÆ™acin da ministan harkokin mata na Æ™asata Najeriya mista Pauline Tallen, ke warkewa daga chutar korona, chutar tayi sanadiyyar rasa ran mahaifi ga É—aya daga cikin abokaina. Allah nake roÆ™o daya gafarta masa yakuma karemu daga kamuwağŸ˜·",1,0,0,1,0,0,0
hau_sample_track1_00010,An kashe mutane da dama yayinda sabon rikici ya barke a Jalingo,0,1,0,1,0,0,0
hau_sample_track1_00011,Wani Mutum ya saki matarsa bayan tayi yunkurin kashe kanta,0,0,0,1,0,0,1
hau_sample_track1_00012,"Allah Ne Ya Saka Mun Shiyasa Tinubu Ya Samu Nasara, In Ji Oyetola",1,0,0,0,0,1,0
hau_sample_track1_00013,"Mata mai sana'ar wankau ta gina gidan kanta, 'yan Najeriya sun taya ta murna",1,0,0,0,0,0,1
hau_sample_track1_00014,"Matashi ya tura sakon zagi ga hadimin gwamnan Katsina, ya gamu da fushin 'yan sanda",0,0,1,1,0,0,0
hau_sample_track1_00015,Yadda wata mata ta yi wa jami'an PHCN mugun duka da yaje karbar wuta ana kulle (Bidiyo),0,0,1,0,0,0,1
hau_sample_track1_00016,this corona wallahi tana ban mamaki wai kaji anacewa akwai yuyuwar kara samun sabuwar nau`in chutar indai coronar nan ba kirkirata akayiba chuta ce daga ubangiji yasakoma bayinsa a doron kasa domin yajarrabemu to lallai duk wani hasashe da akeyi nakarya ne,0,0,1,0,0,0,1
hau_sample_track1_00017,"Hmm, mu ba subsidy ne damuwar mu bağŸ¤·, ya za'a yi a samu sauqin wahalar da talakawa suke cikiğŸ¤·",0,0,0,1,0,1,0
hau_sample_track1_00018,innalillahi wainna ilaihirrajiun el~rufai kaine da wannan maganar lallae kun bani mamaki muje zuwa akwai allah wlh bazaku taajin rayuwar duniya ba in har baku sauke nauyin alkawarin da kuka daukawa talakawa ba don tun wuri ku dawo garemu,0,0,1,0,0,0,1
hau_sample_track1_00019,Khadimul Islam: Ganduje ya sanya wa sabuwar gadar sama sunan wani babban malamin Islama,1,0,0,0,0,1,0
hau_sample_track1_00020,"Mutuwar mutane: Lamarin ya na bani tsoro, FG ta yi watsi da Kano - Ganduje ya magantu",0,1,0,1,0,0,0
hau_sample_track1_00021,"Abin mamaki mutum yadinga girba karya, a,haukan tunaninsa daidai yake yi kaidai kwai surrkududuğŸ¦“ğŸ¦“ğŸ¦“ğŸ´ğŸ´ğŸ´",0,0,1,0,0,0,1
hau_sample_track1_00022,"Allah sarki duniya, Dan Adam daban mamaki, Aysha Allah yabaki maiisonki sabida Allah ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­",0,0,0,1,0,0,1
hau_sample_track1_00023,Labari ne mai ban tsoro - Kungiyar tuntuba ta arewa ta yi Allah wadai da kisan Hanifa,0,1,0,1,0,0,0
hau_sample_track1_00024,Dan Allah kaduva wai mutun 50 ynxu Dan Allah ko kaji aka diba masu adadinnan ai dole kai mamaki...kuma wlh va abinda xaaiğŸ˜“ğŸ˜¥,0,0,1,1,0,0,0
hau_sample_track1_00025,"Dalibai 5 mata sun yi wa malaminsu a makarantar sakandire fyade, ya suma",0,0,0,0,1,0,1
hau_sample_track1_00026,Ikon Allah: Kofura Bashir Umar wanda ya mayar da kudi N15m ya samu zuwa Hajji,1,0,0,0,0,0,1
hau_sample_track1_00027,"Ba mamaki faruwar hakan tsakanin su domin tun nan Nigeria shugaba Buhari yasan bakowane zai bashi kwarin guiwar cigaba da mulkiba musamman talakkawa, duba da irin halinda mu talakkawa muke ciki fargabarmu a nan itace ya sake darewa kaddara ta auku ya mutu yabar da cizon yatsğŸ˜­ğŸ˜­.",0,1,0,1,0,0,0
hau_sample_track1_00028,Kalli wata kyakkyawar Amarya tana sumbatar Mahaifiyarta.,1,0,0,0,0,1,0
hau_sample_track1_00029,Tab mu ai manyan mu sun dade Suna bamu mamakiğŸ˜‚ğŸ˜‚ğŸ˜‚da irin sace sacen da akeyi a lalitar talakawa wani lissafin satar ma sai ta kwancewa mutum lissafiğŸ¤£ğŸ¤£ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ¤£ğŸ¤£ğŸ¤£,0,0,1,0,0,0,1
hau_sample_track1_00030,"Bahaushe yache """"""""""""""""""""""""""""""""Tsuntsun daya ja ruwa shi ruwa kan doka"""""""""""""""""""""""""""""""" in banda asara irin taku a matsayinku na yayan musulmai hausawa ache wai mace baliga tazo gaban wani da namiji tayi tsirara Innalillahi ğŸ˜­ wai a haka kuke claiming wai tarbiya kuke bayarwa ga irin tanan munga irin tarbiyar",0,0,1,0,1,0,0
hau_sample_track1_00031,Alheri gadon barci: Halayyar kirki da wani mutumi ya nuna ma wata Zakanya ya sa sun shaÆ™u da juna,1,0,0,0,0,0,1
hau_sample_track1_00032,"Yan bindiga sun kashe mutum 7 yan gida daya, da wasu mutum 17 a sabon harin jihar Kaduna",0,0,1,1,0,0,0
hau_sample_track1_00033,Ana Fargabar da Yawa Sun Mutu a Wani Kazamin Harin Yan Bindiga a Jihar Benue,0,1,0,1,0,0,0
hau_sample_track1_00034,"Labari da duminsa: Hotunan mummunan fashewar butalin iskar gas a Legas, ana fargabar wasu sun mutu",0,1,0,1,0,0,0
hau_sample_track1_00035,"Innalilahi wainna ilaihi Raji'un gaskiya yanzudai kam nayarda, wannan tsohon ba kaunar talakawa yakeba , ba kaunar cigaban Nigeria yakeba , subahanallah , gaskiya nayi danasanin zabarka ğŸ˜¢",0,0,1,1,0,0,0
hau_sample_track1_00036,Katsina: 'Yan ta'adda sun halaka mataimakin kwamishinan 'yan sanda tare da jami'i 1,0,1,0,1,0,0,0
hau_sample_track1_00037,"Yan aware daga Kamaru sun shigo Najeriya, sun kashe mutane, sun kone gidaje",0,1,0,1,0,0,0
hau_sample_track1_00038,Akwai yiwuwar a fara wahalar man fetur a gidajen man Jihohin Arewa saboda bashin N50bn,0,0,0,1,0,1,0
